model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet152,35,44,1,0,inception_v3,0,6,1,0,bert,8,12,1,32,6305.5,6921.285714285715,1528.900111524755
resnet152,48,52,1,0,inception_v3,2,10,1,0,bert,4,8,1,32,11269.0,11348.081632653062,530.4834082205913
resnet152,17,32,1,0,inception_v3,5,10,1,0,bert,8,12,1,16,9965.0,10910.897959183674,2275.846366402008
resnet152,46,51,1,0,inception_v3,0,6,1,0,bert,0,4,1,16,5847.5,6046.551020408163,675.6996845666339
resnet152,17,50,1,0,inception_v3,0,9,1,0,bert,1,5,1,16,21216.0,21487.683673469386,891.2359406904225
resnet152,0,16,1,0,inception_v3,8,13,1,0,bert,1,10,1,16,14225.5,14594.979591836734,2834.461932812487
resnet152,27,40,1,0,inception_v3,10,14,1,0,bert,1,5,1,16,8761.0,9133.204081632653,951.6906005456888
resnet152,16,40,1,0,inception_v3,6,11,1,0,bert,4,11,1,32,15643.0,16074.612244897959,1192.5452169808657
resnet152,35,46,1,0,inception_v3,10,14,1,0,bert,7,11,1,16,7559.5,8218.34693877551,1367.5370017158796
resnet152,21,43,1,0,inception_v3,4,8,1,0,bert,0,7,1,16,14338.5,14874.744897959185,1314.8691586278476
resnet152,27,49,1,0,inception_v3,6,14,1,0,bert,0,4,1,64,14613.5,15454.081632653062,1889.3603694322076
resnet152,5,28,1,0,inception_v3,5,12,1,0,bert,4,8,1,64,14451.0,15017.510204081633,1416.6914693339663
resnet152,2,47,1,0,inception_v3,3,9,1,0,bert,0,9,1,32,27596.5,27546.020408163266,517.1830485485345
resnet152,42,51,1,0,inception_v3,4,13,1,0,bert,4,10,1,32,14883.0,15770.459183673469,2901.217201164716
resnet152,48,52,1,0,inception_v3,9,14,1,0,bert,6,11,1,8,8016.5,8724.438775510203,2307.9355076509505
resnet152,22,46,1,0,inception_v3,3,12,1,0,bert,8,12,1,64,15398.5,15847.877551020409,1682.5348421980239
resnet152,27,47,1,0,inception_v3,0,13,1,0,bert,3,9,1,8,16627.5,17118.69387755102,1225.6402858794577
resnet152,22,48,1,0,inception_v3,3,9,1,0,bert,8,12,1,16,16591.0,17260.51020408163,2065.836586208184
resnet152,8,17,1,0,inception_v3,0,7,1,0,bert,2,6,1,8,7442.0,7644.173469387755,777.0747478755969
resnet152,23,49,1,0,inception_v3,3,11,1,0,bert,3,12,1,8,16999.0,17714.326530612245,1928.2448335923834
resnet152,1,45,1,0,inception_v3,4,13,1,0,bert,5,10,1,64,26691.5,27516.979591836734,2327.7677183524806
resnet152,24,34,1,0,inception_v3,2,6,1,0,bert,5,12,1,8,9017.5,9200.704081632653,766.2717082077784
resnet152,16,40,1,0,inception_v3,2,13,1,0,bert,3,9,1,32,15683.5,17091.54081632653,2496.2070008697533
resnet152,7,34,1,0,inception_v3,7,13,1,0,bert,2,9,1,8,16937.0,17019.030612244896,516.5897881946294
resnet152,48,52,1,0,inception_v3,9,14,1,0,bert,7,11,1,64,6548.5,6735.591836734694,677.8438631355335
resnet152,23,32,1,0,inception_v3,0,5,1,0,bert,5,9,1,64,6168.5,6351.836734693878,623.2875101293265
resnet152,32,50,1,0,inception_v3,5,9,1,0,bert,1,8,1,32,12143.0,12979.530612244898,1922.2216271171146
resnet152,45,52,1,0,inception_v3,7,11,1,0,bert,0,12,1,8,14900.0,14918.5,253.0338063240901
resnet152,44,52,1,0,inception_v3,7,13,1,0,bert,1,11,1,64,13372.0,13425.295918367347,430.731371591548
resnet152,19,50,1,0,inception_v3,3,13,1,0,bert,5,9,1,32,19977.5,20446.520408163266,1665.5031612686155
resnet152,3,29,1,0,inception_v3,3,8,1,0,bert,6,10,1,8,15973.5,16652.948979591838,1761.28971398251
resnet152,11,30,1,0,inception_v3,0,6,1,0,bert,5,10,1,8,12264.0,12268.142857142857,107.37242073593143
resnet152,14,38,1,0,inception_v3,6,10,1,0,bert,0,4,1,32,15391.5,15635.469387755102,1068.5123761765617
resnet152,31,38,1,0,inception_v3,1,12,1,0,bert,8,12,1,8,14380.5,14365.816326530612,136.76244464053954
resnet152,18,26,1,0,inception_v3,0,14,1,0,bert,4,11,1,8,16722.0,16735.071428571428,355.6626827171372
resnet152,29,52,1,0,inception_v3,1,12,1,0,bert,8,12,1,64,14720.0,14784.969387755102,440.2196217678411
resnet152,37,45,1,0,inception_v3,8,12,1,0,bert,0,11,1,16,13791.0,13811.183673469388,409.4446300045549
resnet152,34,42,1,0,inception_v3,4,13,1,0,bert,5,9,1,32,13274.0,13286.214285714286,265.70576983281524
resnet152,24,37,1,0,inception_v3,0,8,1,0,bert,8,12,1,32,9155.5,9676.489795918367,1552.5119819110928
resnet152,48,52,1,0,inception_v3,2,14,1,0,bert,4,9,1,32,15570.5,15595.57142857143,244.57710273791676
resnet152,17,28,1,0,inception_v3,4,14,1,0,bert,2,10,1,32,13436.0,13501.357142857143,291.942622612662
resnet152,10,48,1,0,inception_v3,6,13,1,0,bert,7,11,1,8,23674.0,24932.336734693876,2943.231134154898
resnet152,28,35,1,0,inception_v3,0,7,1,0,bert,0,7,1,32,9518.0,9620.224489795919,690.4549598961164
resnet152,37,44,1,0,inception_v3,6,10,1,0,bert,3,10,1,64,9555.0,9577.234693877552,250.04060082642783
resnet152,9,45,1,0,inception_v3,2,7,1,0,bert,7,12,1,8,22494.0,23858.48979591837,2865.2639805901485
resnet152,24,28,1,0,inception_v3,6,10,1,0,bert,8,12,1,32,7084.5,7134.908163265306,420.0644286524097
resnet152,8,23,1,0,inception_v3,7,13,1,0,bert,3,8,1,32,9776.0,9930.489795918367,709.0214619948723
resnet152,6,14,1,0,inception_v3,4,11,1,0,bert,4,11,1,32,9920.0,10026.663265306122,569.9179307884915
resnet152,44,52,1,0,inception_v3,0,8,1,0,bert,8,12,1,16,9072.0,9206.622448979591,545.630912017551
resnet152,1,52,1,0,inception_v3,5,12,1,0,bert,8,12,1,32,30951.0,31678.581632653062,2371.1515540588503
resnet152,10,33,1,0,inception_v3,0,11,1,0,bert,1,10,1,16,14934.0,15488.632653061224,1876.7016245277794
resnet152,35,41,1,0,inception_v3,1,5,1,0,bert,6,10,1,32,5812.0,6029.102040816327,663.923810630682
resnet152,9,26,1,0,inception_v3,7,13,1,0,bert,3,10,1,64,11087.5,11578.295918367347,1290.9222001027151
resnet152,38,51,1,0,inception_v3,6,13,1,0,bert,3,11,1,32,11458.0,11604.295918367347,544.6872948463308
resnet152,18,29,1,0,inception_v3,5,13,1,0,bert,8,12,1,32,12024.0,12079.867346938776,334.5336271726473
resnet152,19,51,1,0,inception_v3,10,14,1,0,bert,2,10,1,16,20553.0,21691.0,2597.55985179812
resnet152,35,44,1,0,inception_v3,10,14,1,0,bert,5,10,1,32,7021.0,7149.918367346939,502.4449746188964
resnet152,4,33,1,0,inception_v3,0,12,1,0,bert,1,12,1,16,18283.0,19277.755102040817,2133.442246130888
resnet152,44,49,1,0,inception_v3,6,12,1,0,bert,0,4,1,32,9764.0,9767.377551020409,139.9737960393872
resnet152,8,22,1,0,inception_v3,9,14,1,0,bert,5,9,1,32,8981.0,9729.765306122448,1906.944044217325
resnet152,29,46,1,0,inception_v3,0,6,1,0,bert,6,12,1,64,11133.5,11346.591836734693,985.2064513441312
resnet152,40,46,1,0,inception_v3,8,13,1,0,bert,1,5,1,8,8098.0,8127.928571428572,139.20988778510977
resnet152,22,37,1,0,inception_v3,2,8,1,0,bert,8,12,1,64,9814.0,9896.530612244898,429.24469031652717
resnet152,48,52,1,0,inception_v3,4,10,1,0,bert,6,12,1,32,8864.0,8958.275510204081,431.0137973219448
resnet152,34,46,1,0,inception_v3,2,7,1,0,bert,4,10,1,64,8389.0,9123.969387755102,1872.2077355852741
resnet152,10,19,1,0,inception_v3,0,13,1,0,bert,0,8,1,16,16552.5,16575.214285714286,296.35276999838266
resnet152,6,14,1,0,inception_v3,3,9,1,0,bert,8,12,1,64,8528.5,8602.295918367347,334.4713223783832
resnet152,23,43,1,0,inception_v3,9,13,1,0,bert,6,11,1,16,13004.5,13293.295918367347,1271.0090255559026
resnet152,14,40,1,0,inception_v3,7,11,1,0,bert,3,10,1,16,16879.5,17718.530612244896,2300.111431214076
resnet152,2,9,1,0,inception_v3,9,13,1,0,bert,8,12,1,32,6525.0,6544.163265306122,144.59984855311114
resnet152,4,39,1,0,inception_v3,4,10,1,0,bert,1,10,1,64,21652.5,21987.632653061224,1395.7654646835067
resnet152,2,37,1,0,inception_v3,9,14,1,0,bert,7,11,1,64,21258.5,22493.316326530614,2687.266624312074
resnet152,45,49,1,0,inception_v3,9,14,1,0,bert,4,10,1,8,7767.5,7800.306122448979,204.01787677590477
resnet152,43,50,1,0,inception_v3,5,10,1,0,bert,3,7,1,64,7841.0,7916.744897959184,361.6220067131912
resnet152,35,47,1,0,inception_v3,10,14,1,0,bert,5,10,1,64,7998.0,8471.459183673469,1383.860712941813
resnet152,13,23,1,0,inception_v3,2,14,1,0,bert,2,7,1,16,15837.5,15797.19387755102,151.7240821536672
resnet152,43,50,1,0,inception_v3,2,8,1,0,bert,0,9,1,8,11427.5,11439.948979591836,184.9356408983108
resnet152,34,41,1,0,inception_v3,0,9,1,0,bert,2,8,1,8,10723.0,10779.387755102041,380.0803790567727
resnet152,3,34,1,0,inception_v3,4,11,1,0,bert,5,9,1,64,18964.0,19329.581632653062,1365.3539043604908
resnet152,6,26,1,0,inception_v3,6,14,1,0,bert,0,12,1,8,15298.5,16073.540816326531,1788.1152326035146
