query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,17.46511459350586
2.0,6.0,32.0,64.0,34.22355651855469
3.0,6.0,16.0,16.0,10.736942291259766
4.0,6.0,4.0,32.0,13.120889663696289
5.0,6.0,4.0,32.0,13.512611389160156
6.0,6.0,16.0,64.0,17.432451248168945
7.0,6.0,8.0,64.0,10.664701461791992
8.0,6.0,16.0,8.0,13.140439987182617
9.0,6.0,32.0,8.0,14.687538146972656
10.0,6.0,16.0,16.0,15.820503234863281
11.0,6.0,4.0,16.0,15.931129455566406
12.0,6.0,8.0,64.0,16.751766204833984
13.0,6.0,16.0,64.0,17.339706420898438
14.0,6.0,16.0,8.0,21.278858184814453
15.0,6.0,8.0,32.0,11.78598403930664
16.0,6.0,32.0,32.0,17.469167709350586
17.0,6.0,8.0,16.0,20.353078842163086
18.0,6.0,16.0,64.0,17.426490783691406
19.0,6.0,8.0,16.0,10.758399963378906
20.0,6.0,32.0,32.0,21.048307418823242
21.0,6.0,32.0,32.0,17.17686653137207
22.0,6.0,16.0,8.0,14.41502571105957
23.0,6.0,32.0,32.0,20.43938636779785
24.0,6.0,16.0,8.0,11.374473571777344
25.0,6.0,8.0,32.0,11.922836303710938
26.0,6.0,4.0,16.0,15.540599822998047
27.0,6.0,4.0,8.0,17.513513565063477
28.0,6.0,4.0,64.0,23.70619773864746
29.0,6.0,4.0,8.0,15.009164810180664
30.0,6.0,8.0,8.0,14.88947868347168
31.0,6.0,4.0,8.0,10.938167572021484
32.0,6.0,16.0,8.0,11.842012405395508
33.0,6.0,16.0,32.0,12.286186218261719
34.0,6.0,32.0,8.0,16.440868377685547
35.0,6.0,32.0,16.0,13.46278190612793
36.0,6.0,32.0,16.0,16.164779663085938
37.0,6.0,4.0,16.0,10.975122451782227
38.0,6.0,16.0,8.0,15.153646469116211
39.0,6.0,4.0,64.0,10.187149047851562
40.0,6.0,16.0,32.0,14.731407165527344
41.0,6.0,16.0,16.0,15.514612197875977
42.0,6.0,4.0,32.0,16.10398292541504
43.0,6.0,8.0,16.0,11.137962341308594
44.0,6.0,16.0,32.0,20.834684371948242
45.0,6.0,32.0,64.0,53.85947227478027
46.0,6.0,8.0,32.0,11.04879379272461
47.0,6.0,32.0,64.0,58.745622634887695
48.0,6.0,32.0,8.0,47.93906211853027
49.0,6.0,16.0,16.0,55.84406852722168
50.0,6.0,32.0,8.0,20.859479904174805
51.0,6.0,16.0,64.0,25.56467056274414
52.0,6.0,32.0,16.0,10.719776153564453
53.0,6.0,8.0,8.0,14.252185821533203
54.0,6.0,32.0,32.0,20.618438720703125
55.0,6.0,4.0,8.0,11.348247528076172
56.0,6.0,8.0,32.0,11.976003646850586
57.0,6.0,8.0,8.0,13.141393661499023
58.0,6.0,32.0,8.0,10.487079620361328
59.0,6.0,32.0,8.0,14.188766479492188
60.0,6.0,16.0,8.0,12.793540954589844
61.0,6.0,4.0,8.0,12.25423812866211
62.0,6.0,16.0,32.0,14.209508895874023
63.0,6.0,4.0,64.0,10.604619979858398
64.0,6.0,16.0,16.0,14.466047286987305
65.0,6.0,16.0,8.0,10.768651962280273
66.0,6.0,16.0,32.0,10.553359985351562
67.0,6.0,16.0,8.0,10.753393173217773
68.0,6.0,8.0,32.0,14.080524444580078
69.0,6.0,8.0,32.0,12.262821197509766
70.0,6.0,8.0,8.0,11.629343032836914
71.0,6.0,4.0,32.0,17.63439178466797
72.0,6.0,16.0,64.0,20.720481872558594
73.0,6.0,32.0,64.0,36.47351264953613
74.0,6.0,16.0,8.0,38.96617889404297
75.0,6.0,32.0,64.0,36.35883331298828
76.0,6.0,8.0,16.0,37.40859031677246
