model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet50,13,18,1,0,resnet101,0,35,1,0,19316.0,19409.80612244898,1304.8269152412615
resnet50,0,2,1,0,resnet101,0,35,1,0,16708.0,17284.785714285714,1468.9328991635043
resnet50,0,18,1,0,resnet101,0,35,1,0,17031.0,18010.020408163266,1849.9549138443822
resnet50,0,15,1,0,resnet101,22,35,1,0,9028.0,9566.897959183674,1487.4656949554515
resnet50,0,18,1,0,resnet101,0,35,1,0,16841.0,17041.285714285714,798.0918570220459
resnet50,0,18,1,0,resnet101,0,35,1,0,16899.0,16961.397959183672,374.819813575665
resnet50,0,13,1,0,resnet101,0,35,1,0,16862.0,16886.85714285714,347.25068871972957
resnet50,6,18,1,0,resnet101,0,35,1,0,16666.5,17112.673469387755,1374.278688543893
resnet50,0,18,1,0,resnet101,28,32,1,0,10258.5,9825.683673469388,1127.6939228403226
resnet50,0,18,1,0,resnet101,18,34,1,0,9728.0,10208.397959183674,1905.869803783938
resnet50,6,18,1,0,resnet101,0,9,1,0,6961.0,7111.326530612245,1635.4467577574612
resnet50,0,18,1,0,resnet101,33,35,1,0,10016.0,10260.408163265307,672.63816328608
resnet50,0,18,1,0,resnet101,28,32,1,0,9861.0,9879.418367346938,120.41576982199733
resnet50,0,18,1,0,resnet101,0,35,1,0,17035.0,17864.061224489797,1594.594151016378
resnet50,4,6,1,0,resnet101,0,35,1,0,16928.5,16941.98979591837,215.86841678500465
resnet50,0,18,1,0,resnet101,33,35,1,0,10278.0,10269.520408163266,2033.3125191676552
resnet50,0,5,1,0,resnet101,16,35,1,0,10740.0,11087.489795918367,825.0212148774827
resnet50,0,18,1,0,resnet101,0,35,1,0,17166.0,18167.744897959183,2055.0639461286964
resnet50,0,2,1,0,resnet101,21,35,1,0,6963.5,6970.84693877551,72.92508765161858
resnet50,0,18,1,0,resnet101,16,35,1,0,11157.5,11366.183673469388,1570.9762878147785
resnet50,0,18,1,0,resnet101,0,7,1,0,8798.0,9279.438775510203,1658.0234487050068
resnet50,9,14,1,0,resnet101,0,35,1,0,17076.5,18320.428571428572,1935.8680170899659
resnet50,0,18,1,0,resnet101,19,35,1,0,10801.0,11119.285714285714,1585.539887449659
resnet50,17,18,1,0,resnet101,0,32,1,0,15743.5,15761.765306122448,227.94959168060657
resnet50,0,18,1,0,resnet101,0,35,1,0,17014.0,17343.38775510204,1128.8303648038193
resnet50,0,16,1,0,resnet101,0,35,1,0,16990.5,17214.48979591837,881.2796614767706
resnet50,0,18,1,0,resnet101,0,35,1,0,16983.5,17274.316326530614,1134.8208668937693
resnet50,0,18,1,0,resnet101,0,10,1,0,10508.5,10436.448979591836,1324.4679495698392
resnet50,0,2,1,0,resnet101,0,35,1,0,16582.5,17519.826530612245,1931.0892613275269
resnet50,4,5,1,0,resnet101,0,35,1,0,16555.5,16574.061224489797,314.76819512098916
resnet50,0,2,1,0,resnet101,0,35,1,0,17200.0,18050.673469387755,1812.691142774203
resnet50,0,6,1,0,resnet101,0,35,1,0,19194.5,19217.714285714286,352.3665762833255
resnet50,0,18,1,0,resnet101,0,35,1,0,19079.0,19111.897959183672,261.05564696470674
resnet50,0,18,1,0,resnet101,0,34,1,0,16831.5,17892.73469387755,1587.863167850663
resnet50,0,18,1,0,resnet101,22,35,1,0,10371.0,10561.867346938776,1489.5403594408463
resnet50,0,18,1,0,resnet101,0,35,1,0,16804.0,16819.15306122449,246.2920678680305
resnet50,0,18,1,0,resnet101,0,35,1,0,16776.5,16981.173469387755,999.5962248655776
resnet50,0,18,1,0,resnet101,0,35,1,0,16688.5,16800.071428571428,496.8419707286725
resnet50,0,2,1,0,resnet101,0,35,1,0,16758.0,17346.26530612245,1814.3606708420396
resnet50,0,6,1,0,resnet101,4,35,1,0,17223.5,17276.418367346938,1501.5498042904476
resnet50,10,18,1,0,resnet101,0,19,1,0,9510.5,9899.612244897959,929.5520605751192
resnet50,0,18,1,0,resnet101,0,11,1,0,10873.5,11192.57142857143,1502.6066602774672
resnet50,0,18,1,0,resnet101,0,35,1,0,16856.5,17026.65306122449,792.2838867378955
resnet50,0,18,1,0,resnet101,0,35,1,0,16676.0,17324.54081632653,1703.708908309279
resnet50,7,18,1,0,resnet101,0,35,1,0,16736.0,16767.285714285714,429.5188337796476
resnet50,8,11,1,0,resnet101,0,35,1,0,16585.5,16610.173469387755,397.96728471608054
resnet50,0,18,1,0,resnet101,0,35,1,0,16622.0,16710.29591836735,433.18246165487943
resnet50,0,18,1,0,resnet101,0,35,1,0,16554.5,16621.51020408163,500.98415887819954
resnet50,0,18,1,0,resnet101,25,35,1,0,10247.0,9583.081632653062,1304.9948367516074
resnet50,0,18,1,0,resnet101,10,24,1,0,10263.0,10327.397959183674,2135.9765665027544
resnet50,0,18,1,0,resnet101,10,35,1,0,13762.5,13852.989795918367,427.39222283609075
