model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet152,37,43,1,0,inception_v3,0,7,1,0,vgg19,6,10,1,0,9003.0,10567.755102040815,2700.902604464015
resnet152,45,50,1,0,inception_v3,0,4,1,0,vgg19,14,19,1,0,4651.0,5210.397959183673,1289.378744089618
resnet152,10,35,1,0,inception_v3,8,12,1,0,vgg19,16,20,1,0,16132.0,16686.061224489797,1233.9532523173734
resnet152,17,37,1,0,inception_v3,3,13,1,0,vgg19,4,14,1,0,17662.0,18744.724489795917,2144.3972645421277
resnet152,39,48,1,0,inception_v3,2,12,1,0,vgg19,1,17,1,0,17294.0,17772.938775510203,1212.7140317412732
resnet152,39,50,1,0,inception_v3,9,13,1,0,vgg19,4,11,1,0,8101.5,8732.438775510203,1479.9277565539842
resnet152,8,12,1,0,inception_v3,9,13,1,0,vgg19,9,18,1,0,7741.0,8187.163265306122,1339.1234926049503
resnet152,6,11,1,0,inception_v3,7,11,1,0,vgg19,4,17,1,0,8201.0,8386.142857142857,717.9040922813338
resnet152,45,51,1,0,inception_v3,7,11,1,0,vgg19,4,18,1,0,8238.0,8656.010204081633,1443.174148308116
resnet152,44,50,1,0,inception_v3,3,12,1,0,vgg19,15,21,1,0,15604.5,16138.102040816326,1370.2086351623193
resnet152,42,47,1,0,inception_v3,6,11,1,0,vgg19,5,11,1,0,9962.5,10348.295918367347,1228.331896991613
resnet152,10,41,1,0,inception_v3,2,6,1,0,vgg19,2,21,1,0,20015.0,20275.98979591837,780.2405371513609
resnet152,1,12,1,0,inception_v3,3,7,1,0,vgg19,7,11,1,0,7507.0,7839.051020408163,1061.7063217874559
resnet152,11,24,1,0,inception_v3,8,13,1,0,vgg19,5,18,1,0,9894.5,10342.591836734693,1083.3312459745587
resnet152,34,49,1,0,inception_v3,7,11,1,0,vgg19,17,21,1,0,10041.5,10466.632653061224,1040.7638029964605
resnet152,13,21,1,0,inception_v3,6,11,1,0,vgg19,13,21,1,0,10086.5,10317.295918367347,824.0712051806144
resnet152,41,49,1,0,inception_v3,3,9,1,0,vgg19,6,11,1,0,10597.5,10897.714285714286,931.3611829259498
resnet152,27,47,1,0,inception_v3,6,12,1,0,vgg19,17,21,1,0,12821.5,13748.142857142857,1989.724865607385
resnet152,2,46,1,0,inception_v3,5,10,1,0,vgg19,14,21,1,0,27563.5,27849.61224489796,828.7009951978454
resnet152,44,51,1,0,inception_v3,7,12,1,0,vgg19,13,17,1,0,9811.0,10208.897959183674,1059.8429079763057
resnet152,46,50,1,0,inception_v3,1,12,1,0,vgg19,12,17,1,0,17376.5,17875.744897959183,1159.5731384843207
resnet152,22,36,1,0,inception_v3,3,7,1,0,vgg19,14,19,1,0,9167.0,9401.173469387755,789.9582916593969
resnet152,9,31,1,0,inception_v3,7,13,1,0,vgg19,4,12,1,0,14336.0,15055.642857142857,1727.2513214790197
resnet152,0,28,1,0,inception_v3,6,12,1,0,vgg19,12,18,1,0,17689.0,18099.816326530614,1181.4577846357022
resnet152,21,51,1,0,inception_v3,8,13,1,0,vgg19,9,14,1,0,19447.0,19513.367346938776,228.93303484639713
resnet152,46,51,1,0,inception_v3,0,6,1,0,vgg19,12,16,1,0,6859.5,6979.408163265306,642.9853814432236
resnet152,41,50,1,0,inception_v3,1,11,1,0,vgg19,12,18,1,0,15642.0,16066.102040816326,1143.3999022767352
